"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US01341","ZCTA5 01341","97417","11343",
"860Z200US01342","ZCTA5 01342","109205","71397",
"860Z200US01343","ZCTA5 01343","69375","26358",
"860Z200US01344","ZCTA5 01344","77656","9449",
"860Z200US01346","ZCTA5 01346","113650","7921",
"860Z200US01347","ZCTA5 01347","72467","19260",
"860Z200US01349","ZCTA5 01349","75033","14479",
"860Z200US01350","ZCTA5 01350","-","**",
"860Z200US01351","ZCTA5 01351","98229","29220",
"860Z200US01354","ZCTA5 01354","90208","13965",
"860Z200US01355","ZCTA5 01355","82713","16946",
"860Z200US01360","ZCTA5 01360","103375","10346",
"860Z200US01364","ZCTA5 01364","55532","9980",
"860Z200US01366","ZCTA5 01366","110750","20440",
"860Z200US01367","ZCTA5 01367","72813","22642",
"860Z200US01368","ZCTA5 01368","102500","7688",
"860Z200US01370","ZCTA5 01370","81008","5666",
"860Z200US01373","ZCTA5 01373","106413","11509",
"860Z200US01375","ZCTA5 01375","68083","3491",
"860Z200US01376","ZCTA5 01376","55652","6600",
"860Z200US01378","ZCTA5 01378","93333","21819",
"860Z200US01379","ZCTA5 01379","59583","16811",
"860Z200US01380","ZCTA5 01380","73472","1417",
"860Z200US01420","ZCTA5 01420","72780","5464",
"860Z200US01430","ZCTA5 01430","118683","11249",
"860Z200US01431","ZCTA5 01431","115598","9187",
"860Z200US01432","ZCTA5 01432","101966","16515",
"860Z200US01434","ZCTA5 01434","162143","134866",
"860Z200US01436","ZCTA5 01436","77721","35734",
"860Z200US01438","ZCTA5 01438","-","**",
"860Z200US01440","ZCTA5 01440","67440","8206",
"860Z200US01450","ZCTA5 01450","193292","26810",
"860Z200US01451","ZCTA5 01451","214792","37391",
"860Z200US01452","ZCTA5 01452","123500","23524",
"860Z200US01453","ZCTA5 01453","84296","6693",
"860Z200US01460","ZCTA5 01460","149722","31172",
"860Z200US01462","ZCTA5 01462","112992","11461",
"860Z200US01463","ZCTA5 01463","123911","11800",
"860Z200US01464","ZCTA5 01464","122365","16320",
"860Z200US01468","ZCTA5 01468","113427","8630",
"860Z200US01469","ZCTA5 01469","103801","16260",
"860Z200US01473","ZCTA5 01473","106331","21852",
"860Z200US01474","ZCTA5 01474","136371","18402",
"860Z200US01475","ZCTA5 01475","76552","13947",
"860Z200US01501","ZCTA5 01501","116762","9444",
"860Z200US01503","ZCTA5 01503","121336","12039",
"860Z200US01504","ZCTA5 01504","94191","21141",
"860Z200US01505","ZCTA5 01505","140962","28329",
"860Z200US01506","ZCTA5 01506","81250","37166",
"860Z200US01507","ZCTA5 01507","117587","8398",
"860Z200US01510","ZCTA5 01510","89781","9660",
"860Z200US01515","ZCTA5 01515","81042","16163",
"860Z200US01516","ZCTA5 01516","153172","7871",
"860Z200US01518","ZCTA5 01518","136111","46087",
"860Z200US01519","ZCTA5 01519","178263","23272",
"860Z200US01520","ZCTA5 01520","148125","10329",
"860Z200US01521","ZCTA5 01521","91979","11542",
"860Z200US01522","ZCTA5 01522","100625","41396",
"860Z200US01523","ZCTA5 01523","134833","27224",
"860Z200US01524","ZCTA5 01524","102099","8948",
"860Z200US01525","ZCTA5 01525","-","**",
"860Z200US01527","ZCTA5 01527","118790","13217",
"860Z200US01529","ZCTA5 01529","127188","32485",
"860Z200US01531","ZCTA5 01531","99500","8083",
"860Z200US01532","ZCTA5 01532","153199","19436",
"860Z200US01534","ZCTA5 01534","141250","17690",
"860Z200US01535","ZCTA5 01535","79285","10660",
"860Z200US01536","ZCTA5 01536","115938","22152",
"860Z200US01537","ZCTA5 01537","102956","12865",
"860Z200US01540","ZCTA5 01540","110579","22995",
"860Z200US01541","ZCTA5 01541","158750","46102",
"860Z200US01542","ZCTA5 01542","96111","36161",
"860Z200US01543","ZCTA5 01543","145707","27995",
"860Z200US01545","ZCTA5 01545","139302","11474",
"860Z200US01550","ZCTA5 01550","66287","8373",
"860Z200US01560","ZCTA5 01560","107031","21197",
"860Z200US01561","ZCTA5 01561","-","**",
"860Z200US01562","ZCTA5 01562","80533","11243",
"860Z200US01564","ZCTA5 01564","129063","26765",
"860Z200US01566","ZCTA5 01566","137730","18429",
"860Z200US01568","ZCTA5 01568","160417","34939",
"860Z200US01569","ZCTA5 01569","124222","6914",
"860Z200US01570","ZCTA5 01570","72895","5958",
"860Z200US01571","ZCTA5 01571","84604","11774",
"860Z200US01581","ZCTA5 01581","141944","12497",
"860Z200US01583","ZCTA5 01583","106094","12301",
"860Z200US01585","ZCTA5 01585","87857","21997",
"860Z200US01588","ZCTA5 01588","92486","9410",
"860Z200US01590","ZCTA5 01590","147015","21761",
"860Z200US01602","ZCTA5 01602","91764","8215",
"860Z200US01603","ZCTA5 01603","66049","7456",
"860Z200US01604","ZCTA5 01604","73505","4087",
"860Z200US01605","ZCTA5 01605","54642","6180",
"860Z200US01606","ZCTA5 01606","92105","9019",
"860Z200US01607","ZCTA5 01607","78727","22531",
"860Z200US01608","ZCTA5 01608","45687","5261",
"860Z200US01609","ZCTA5 01609","68381","11835",
